0	-1525.64	5.64582
1	0	0
2	-1337.48	5.72434
3	-1488.17	5.40581
0	-1311.05	6.40149
1	-1577.06	6.00646
2	-1435.31	5.64582
3	-1577.06	6.00646
0	-1415.44	4.91438
1	-1358.43	5.40581
2	-1531.42	5.40581
3	-1297.76	5.31715
0	-1376.12	4.91437
1	-1438.92	4.84241
2	-1415.44	4.91438
3	-1790.89	5.40581
0	-1258.18	4.91438
1	-1528.85	5.11236
2	-1482.95	5.17665
3	-1651.54	5.11236
0	-1406.15	5.11236
1	-1572.7	4.91437
2	-1516.4	4.84241
3	-1400.13	5.17665
0	-1651.54	5.11236
1	-1228.69	5.40581
2	-1401.68	5.40581
3	0	0
0	-1692.44	5.11236
1	-1376.12	4.91437
2	-1454.75	4.91438
3	-1297.49	4.91437
0	-1406.15	5.11236
1	-1318.79	4.50484
2	-1269.83	4.67094
3	-1400.18	4.84241
0	0	0
1	0	0
2	0	0
3	-1577.06	6.00646
0	-1383.28	5.72434
1	-1254.64	5.64582
2	-1390.14	5.64582
3	-1435.31	5.64582
0	-1528.85	5.11236
1	-1474.86	5.72434
2	-1297.76	5.31715
3	-1201.66	5.11236
